,Player_Id,Player,Assists,Shifts,BLOCK,GOAL (BACKHAND),GOAL (DEFLECTED),GOAL (SLAP SHOT),GOAL (SNAP SHOT),GOAL (TIP-IN),GOAL (WRAP-AROUND),GOAL (WRIST SHOT),HIT,PENL (FIGHTING),PENL (OTHER)
45,8473419,BRAD MARCHAND,55.0,1772,24.0,2.0,0.0,2.0,5.0,3.0,0.0,23.0,91.0,1.0,36.0
46,8473422,NICK FOLIGNO,12.0,1184,36.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,179.0,5.0,19.0
47,8473446,ERIK JOHNSON,21.0,2378,165.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,244.0,0.0,14.0
48,8473449,KYLE OKPOSO,24.0,1653,19.0,1.0,2.0,0.0,3.0,3.0,0.0,12.0,59.0,1.0,18.0
49,8473453,TREVOR LEWIS,13.0,1775,46.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,214.0,0.0,13.0
50,8473463,LEO KOMAROV,,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0
51,8473473,MILAN LUCIC,12.0,1632,24.0,0.0,1.0,0.0,2.0,1.0,0.0,5.0,233.0,7.0,17.0
52,8473504,CAL CLUTTERBUCK,9.0,1253,23.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,229.0,0.0,5.0
53,8473507,JEFF PETRY,21.0,1645,115.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,139.0,0.0,15.0
54,8473512,CLAUDE GIROUX,49.0,2101,18.0,1.0,0.0,5.0,4.0,2.0,1.0,11.0,81.0,0.0,13.0
55,8473533,JORDAN STAAL,24.0,2135,37.0,1.0,4.0,0.0,1.0,2.0,0.0,8.0,263.0,0.0,10.0
56,8473544,DERICK BRASSARD,11.0,878,6.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,85.0,0.0,8.0
57,8473548,PHIL KESSEL,43.0,1707,21.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,6.0,0.0,14.0
58,8473563,NICKLAS BACKSTROM,29.0,1116,19.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,23.0,0.0,8.0
59,8473604,JONATHAN TOEWS,25.0,1651,22.0,1.0,0.0,0.0,2.0,3.0,0.0,6.0,25.0,1.0,16.0
60,8473618,MATHIEU PERREAULT,5.0,362,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34.0,0.0,2.0
61,8473986,ALEX KILLORN,38.0,2500,42.0,3.0,1.0,0.0,2.0,8.0,0.0,10.0,125.0,0.0,37.0
62,8473994,JAMIE BENN,29.0,2176,67.0,4.0,1.0,0.0,2.0,2.0,0.0,10.0,160.0,4.0,32.0
63,8474009,NICK BONINO,10.0,1863,102.0,1.0,1.0,0.0,2.0,4.0,0.0,6.0,34.0,0.0,8.0
64,8474013,IAN COLE,18.0,1892,130.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,127.0,2.0,34.0
65,8474027,JUSTIN BRAUN,13.0,2170,141.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,111.0,0.0,19.0
66,8474031,KEVIN SHATTENKIRK,27.0,2069,135.0,0.0,0.0,2.0,0.0,1.0,0.0,4.0,73.0,0.0,15.0
67,8474034,PAT MAROON,18.0,1608,14.0,6.0,0.0,0.0,0.0,1.0,0.0,6.0,218.0,11.0,24.0
68,8474037,JAMES VAN RIEMSDYK,14.0,1742,25.0,1.0,2.0,0.0,7.0,3.0,0.0,7.0,34.0,1.0,9.0
69,8474038,PAUL BYRON,3.0,491,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,66.0,0.0,1.0
70,8474040,SAM GAGNER,17.0,1434,22.0,0.0,0.0,0.0,1.0,1.0,0.0,8.0,21.0,0.0,15.0
71,8474053,LOGAN COUTURE,32.0,2008,58.0,3.0,1.0,2.0,1.0,3.0,0.0,12.0,91.0,0.0,8.0
72,8474056,PK SUBBAN,17.0,1754,90.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,69.0,3.0,19.0
73,8474062,RILEY NASH,4.0,872,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,6.0
74,8474066,THOMAS HICKEY,,48,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
75,8474068,KYLE TURRIS,3.0,272,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,2.0
76,8474089,BRAD MALONE,1.0,137,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.0,0.0,2.0
77,8474090,BRENDAN SMITH,7.0,1093,46.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,99.0,2.0,18.0
78,8474098,COLTON SCEVIOUR,3.0,456,20.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,41.0,3.0,2.0
79,8474102,DAVID PERRON,34.0,1693,16.0,5.0,1.0,5.0,4.0,0.0,0.0,18.0,96.0,0.0,24.0
